# Additional common words to reach ~2000 (1213-2000)
# Survival phrases
s'il vous plaît|please (formal)
s'il te plaît|please (informal)
excusez-moi|excuse me
je suis désolé|I am sorry
comment allez-vous|how are you (formal)
comment vas-tu|how are you (informal)
je ne comprends pas|I don't understand
parlez-vous anglais|do you speak English
je voudrais|I would like
combien ça coûte|how much does it cost
où sont les toilettes|where are the toilets
à bientôt|see you soon
à demain|see you tomorrow
bonne nuit|good night
bonne journée|have a nice day
bon appétit|enjoy your meal
santé|cheers (toast)
bienvenue|welcome
félicitations|congratulations
bonne chance|good luck
au secours|help!
attention|watch out
d'accord|okay, agreed
bien sûr|of course
pas du tout|not at all
tout à fait|absolutely
n'importe quoi|anything, nonsense
tant pis|too bad
tant mieux|so much the better
en tout cas|in any case
de rien|you're welcome
je t'en prie|you're welcome (informal)
# More adjectives
agréable|pleasant
désagréable|unpleasant
confortable|comfortable
inconfortable|uncomfortable
utile|useful
inutile|useless
intéressant|interesting
ennuyeux|boring
amusant|amusing, funny
passionnant|exciting, fascinating
effrayant|scary
magnifique|magnificent
merveilleux|wonderful
excellent|excellent
terrible|terrible
horrible|horrible
affreux|awful
formidable|tremendous, great
remarquable|remarkable
ordinaire|ordinary
spécial|special
unique|unique
rare|rare
commun|common
particulier|particular
général|general
principal|main, principal
secondaire|secondary
supplémentaire|additional
suffisant|sufficient
insuffisant|insufficient
complet|complete
incomplet|incomplete
correct|correct
incorrect|incorrect
parfait|perfect
imparfait|imperfect
exact|exact
approximatif|approximate
précis|precise
vague|vague
évident|obvious
probable|probable
improbable|improbable
capable|capable
incapable|incapable
responsable|responsible
disponible|available
absent|absent
présent|present
permanent|permanent
temporaire|temporary
régulier|regular
irrégulier|irregular
constant|constant
variable|variable
stable|stable
fragile|fragile
solide|solid
liquide|liquid
naturel|natural
artificiel|artificial
automatique|automatic
manuel|manual
public|public
privé|private
officiel|official
personnel|personal
professionnel|professional
national|national
international|international
local|local
mondial|global, worldwide
humain|human
animal|animal
végétal|plant (adj.)
minéral|mineral
# More verbs
abandonner|to abandon
accompagner|to accompany
accrocher|to hang, to hook
admettre|to admit
adopter|to adopt
affirmer|to affirm
agir|to act
ajouter|to add
allumer|to light, to turn on
annoncer|to announce
apercevoir|to notice, to catch sight of
appuyer|to press, to lean
assurer|to assure, to insure
attacher|to attach, to tie
attraper|to catch
augmenter|to increase
baisser|to lower
bloquer|to block
bouger|to move
briller|to shine
calculer|to calculate
célébrer|to celebrate
charger|to load, to charge
chasser|to hunt, to chase
chauffer|to heat
coller|to glue, to stick
commander|to order
communiquer|to communicate
comparer|to compare
compléter|to complete
composer|to compose
concentrer|to concentrate
confondre|to confuse
conseiller|to advise
conserver|to preserve
consommer|to consume
contenir|to contain
contrôler|to control
convaincre|to convince
corriger|to correct
décevoir|to disappoint
déclarer|to declare
décorer|to decorate
découvrir|to discover
défendre|to defend
déranger|to disturb
descendre|to go down
désirer|to desire
détruire|to destroy
deviner|to guess
diminuer|to decrease
diriger|to direct, to manage
discuter|to discuss
disparaître|to disappear
distribuer|to distribute
